nPar,nB,nT,curTask,curDur,rpr,flw,curPreCueDur,preTask,preDur
0,5,44,reproduction,1.1,1.023236900000029,0.0,,following,1.2
0,5,45,reproduction,1.1,1.070274100000006,0.0,,reproduction,1.1
0,5,46,following,1.2,0.0,1.152595399999882,1.2,reproduction,1.1
0,5,47,reproduction,1.2,0.9644220000000132,0.0,,following,1.2
0,5,48,following,1.0,0.0,1.2114034000001084,0.9,reproduction,1.2
0,5,49,reproduction,1.3,0.97618169999987,0.0,,following,1.0
0,5,50,following,0.8,0.0,1.140813999999864,1.1,reproduction,1.3
0,5,51,following,0.8,0.0,0.9409060000002684,1.4,following,0.8
0,5,52,following,1.3,0.0,1.234889899999871,0.8,following,0.8
0,5,53,reproduction,0.8,0.9291352999998708,0.0,,following,1.3
0,5,54,following,0.8,0.0,1.0231850999998642,1.3,reproduction,0.8
0,5,55,following,0.9,0.0,0.9879230000001372,0.9,following,0.8
0,5,56,reproduction,1.4,1.646555199999966,0.0,,following,0.9
0,6,1,following,1.3,0.0,1.3642695000003189,1.3,,
0,6,2,following,1.2,0.0,1.3290286000001288,1.4,following,1.3
0,6,3,following,1.4,0.0,1.5171731999998883,1.1,following,1.2
0,6,4,reproduction,1.3,1.2584529999999177,0.0,,following,1.4
0,6,5,reproduction,1.1,0.8938527000000249,0.0,,reproduction,1.3
0,6,6,following,1.0,0.0,1.0702564999996866,0.8,reproduction,1.1
0,6,7,following,1.1,0.0,1.234955799999625,1.3,following,1.0
0,6,8,reproduction,1.3,0.6938833999997769,0.0,,following,1.1
0,6,9,reproduction,1.0,0.752733299999818,0.0,,reproduction,1.3
0,6,10,following,0.8,0.0,0.9408838999997896,1.1,reproduction,1.0
0,6,11,following,0.8,0.0,0.9526366999998572,1.1,following,0.8
0,6,12,reproduction,1.0,0.9173808000000464,0.0,,following,0.8
0,6,13,reproduction,1.3,1.1173404000001028,0.0,,reproduction,1.0
0,6,14,following,1.4,0.0,1.2466159999999036,1.0,reproduction,1.3
0,6,15,following,0.9,0.0,1.0702460000002247,1.2,following,1.4
0,6,16,following,0.9,0.0,1.0349720999997771,1.0,following,0.9
0,6,17,following,1.1,0.0,1.01141860000007,0.9,following,0.9
