nPar,nB,nT,curTask,curDur,rpr,flw,curPreCueDur,curRpt,preTask,preDur,preRpt,prePreCueDur,flwOnLtc,flwOffLtc,flwAfterOff,valid
9,6,6,reproduction,1.2,1.0350259999977425,0.0,,1.0350259999977425,reproduction,0.9,0.9056449000017892,,,,False,1
9,6,7,following,0.8,0.0,1.0702448999982153,0.8,1.0702448999982153,reproduction,1.2,1.0350259999977425,,-0.0233824999995704,0.2470998999997391,False,1
9,6,8,reproduction,1.0,0.8821382000023732,0.0,,0.8821382000023732,following,0.8,1.0702448999982153,0.8,,,False,1
9,6,9,following,1.1,0.0,1.1055453999979363,1.2,1.1055453999979363,reproduction,1.0,0.8821382000023732,,0.0471792999996978,0.047180900000967,False,1
9,6,10,following,1.1,0.0,1.0937612000016088,0.9,1.0937612000016088,following,1.1,1.1055453999979363,1.2,0.0589504999989003,0.0471676000015577,False,1
9,6,11,following,1.3,0.0,1.3289455999984057,1.0,1.3289455999984057,following,1.1,1.0937612000016088,0.9,-0.0351498999989416,-0.0116981999999552,False,1
9,6,12,reproduction,0.8,0.917391499999212,0.0,,0.917391499999212,following,1.3,1.3289455999984057,1.0,,,False,1
9,6,13,reproduction,1.1,1.0467879999996512,0.0,,1.0467879999996512,reproduction,0.8,0.917391499999212,,,,False,1
9,6,14,following,1.0,0.0,1.187897100000555,1.1,1.187897100000555,reproduction,1.1,1.0467879999996512,,0.0236657000023114,0.2118466000029002,False,1
9,6,15,following,0.8,0.0,1.0585166000018944,0.9,1.0585166000018944,following,1.0,1.187897100000555,1.1,-0.0116398999998637,0.247118600000249,False,1
9,6,16,following,0.8,0.0,1.25846570000067,1.4,1.25846570000067,following,0.8,1.0585166000018944,0.9,-0.0821790000009059,0.3764965999980632,False,1
9,6,17,reproduction,1.3,1.376118399999541,0.0,,1.376118399999541,following,0.8,1.25846570000067,1.4,,,False,1
9,6,18,reproduction,1.4,1.4231270999989647,0.0,,1.4231270999989647,reproduction,1.3,1.376118399999541,,,,False,1
